Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Maribyrnong,Ariele Apartments,7 Thomas Holmes St,VIC,3032,2021-07-08,08/07/2021,1:00pm - 11:59pm,"This applies to any person who was present in or who entered the residential part of 7 Thomas Holmes St between 1:00pm until 11:59pm on 8 July. This includes any access to the residential foyer, stairwells, lift, residential floors and carpark. This excludes people whose only exposure to the building was to enter a commercial space on the ground floor and who did not enter any residential space. Note: cases attended complex.",2021-07-12,12/07/2021,20:30:25,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:00:00,23:59:59
Maribyrnong,Ariele Apartments,7 Thomas Holmes St,VIC,3032,2021-07-09,09/07/2021,12:00am - 11:59pm,"This applies to any person who was present in or who entered the residential part of 7 Thomas Holmes St from 12:00am on 9 July. This includes any access to the residential foyer, stairwells, lift, residential floors and carpark. This excludes people whose only exposure to the building was to enter a commercial space on the ground floor and who did not enter any residential space.",2021-07-12,12/07/2021,20:30:20,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:59
Maribyrnong,Ariele Apartments,7 Thomas Holmes St,VIC,3032,2021-07-10,10/07/2021,12:00am - 11:59pm,"This applies to any person who was present in or who entered the residential part of 7 Thomas Holmes St from 12:00am on 10 July. This includes any access to the residential foyer, stairwells, lift, residential floors and carpark. This excludes people whose only exposure to the building was to enter a commercial space on the ground floor and who did not enter any residential space.",2021-07-12,12/07/2021,20:30:15,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00
Maribyrnong,Ariele Apartments,7 Thomas Holmes St,VIC,3032,2021-07-11,11/07/2021,12:00am - 11:59pm,"This applies to any person who was present in or who entered the residential part of 7 Thomas Holmes St from 12:00am on 11 July. This includes any access to the residential foyer, stairwells, lift, residential floors and carpark. This excludes people whose only exposure to the building was to enter a commercial space on the ground floor and who did not enter any residential space.",2021-07-12,12/07/2021,20:30:10,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00
Maribyrnong,Ariele Apartments,7 Thomas Holmes St,VIC,3032,2021-07-12,12/07/2021,12:00am - 11:59pm,"This applies to any person who was present in or who entered the residential part of 7 Thomas Holmes St from 12:00am on 12 July. This includes any access to the residential foyer, stairwells, lift, residential floors and carpark. This excludes people whose only exposure to the building was to enter a commercial space on the ground floor and who did not enter any residential space.",2021-07-12,12/07/2021,20:30:05,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00
Craigieburn,Craigieburn Central Shopping Centre,Craigieburn Rd,VIC,3064,2021-07-10,10/07/2021,5:28pm - 6:38pm,Case attended venue,2021-07-12,12/07/2021,19:45:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",17:28:00,18:38:00
Broadmeadows,Metro Petroleum Broadmeadows,184 Widford St,VIC,3047,2021-07-11,11/07/2021,1:19pm - 2:04pm,Case attended venue,2021-07-12,12/07/2021,19:15:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",13:19:00,14:04:00
Craigieburn,Coles Craigieburn Central,Craigieburn Central Shopping Centre - Craigieburn Rd and Windrock Ave,VIC,3064,2021-07-10,10/07/2021,5:28pm - 6:38pm,Case attended venue,2021-07-12,12/07/2021,19:15:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:28:00,18:38:00
Campbellfield,Campbellfield Plaza - outside ATM,1440 Hume Highway,VIC,3061,2021-07-14,14/07/2021,3:15pm - 4:05pm,Case attended,2021-07-14,14/07/2021,23:50:00,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",15:15:00,16:05:00
Public Transport,Yarra Trams - Route 82 (Footscray Station/Leeds St to Edgewater Square/Gordon St),,VIC,,2021-07-10,10/07/2021,7:51pm - 8:14pm,Case travelled,2021-07-14,14/07/2021,23:40:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:51:00,20:14:00
Barwon Heads,Barwon Heads Football and Netball Club (Players and Coaches),Village Park,VIC,3227,2021-07-12,12/07/2021,4:30pm - 6:00pm,Applies to under 10s team. Case attended venue,2021-07-14,14/07/2021,23:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:30:00,18:00:00
Barwon Heads,Barwon Heads Football and Netball Club (Spectators),Village Park,VIC,3227,2021-07-12,12/07/2021,4:30pm - 6:00pm,Case attended venue,2021-07-14,14/07/2021,23:20:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:30:00,18:00:00
Craigieburn,Craigieburn Sporting Club,235/251 Craigieburn Rd,VIC,3064,2021-07-12,12/07/2021,10:45am - 2:30pm,Case attended venue,2021-07-14,14/07/2021,23:10:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:45:00,14:30:00
Waurn Ponds,Officeworks,3/213-217 Colac Rd,VIC,3216,2021-07-11,11/07/2021,1:30pm - 2:30pm,Case attended venue,2021-07-14,14/07/2021,23:05:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",13:30:00,14:30:00
